# round; date, desc 
1;2015-08-22 Lördag 12:00,Hässelby SK FF 9 - Ängby IF Röd 2
1;2015-08-23 Söndag 14:00,IF Brommapojkarna 11 - Ängby IF Röd 1
7;2015-08-29 Lördag 11:00,Ängby IF Röd 2 - IF Brommapojkarna 1
2;2015-08-30 Söndag 10:00,Ängby IF Röd 1 - Spånga IS FK 1               
3;2015-09-05 Lördag 12:00,Hässelby SK FF 7 - Ängby IF Röd 1
3;2015-09-12 Lördag 11:00,Ängby IF Röd 2 - Ängby IF Vit 1
4;2015-09-13 Söndag 10:00,Ängby IF Röd 1 - Bele Barkarby FF 2
4;2015-09-13 Söndag 12:00,IFK Viksjö 5 - Ängby IF Röd 2
5;2015-09-17 Torsdag 18:00,Nockebyhovs IF 2 - Ängby IF Röd 2
5;2015-09-19 Lördag 10:00,Ekerö IK 1:Blå - Ängby IF Röd 1         
6;2015-09-26 Lördag 11:00,Ängby IF Röd 2 - IF Brommapojkarna 12
6;2015-09-27 Söndag 10:00,Ängby IF Röd 1 - Ängby IF Gul 1
